RecordedAtTime,VehicleLocation.Longitude,VehicleLocation.Latitude
25200,0.703030303030303,-0.7433774834437086
25800,0.5515151515151515,-0.5248344370860927
26400,0.5272727272727272,-0.26158940397350994
27600,0.5878787878787879,-0.20198675496688742
28200,0.5757575757575758,-0.30960264900662254
28800,0.6181818181818182,-0.5215231788079471
29400,0.6666666666666666,-0.6721854304635762
30000,0.7757575757575758,-0.8807947019867549
30600,0.9757575757575757,-0.9850993377483444
31200,0.9878787878787879,-0.9867549668874173
31800,0.7696969696969697,-0.8642384105960265
32400,0.6424242424242425,-0.6125827814569537
33000,0.5272727272727272,-0.42218543046357615
33600,0.5151515151515151,-0.21357615894039736
34200,0.4,-0.046357615894039736
34800,0.37575757575757573,0.013245033112582781
35400,0.37575757575757573,0.013245033112582781
36000,0.5151515151515151,-0.06456953642384106
36600,0.6,-0.2251655629139073
37200,0.5757575757575758,-0.38079470198675497
37800,0.6363636363636364,-0.5943708609271523
38400,0.7151515151515152,-0.7615894039735099
39000,0.8909090909090909,-0.9850993377483444
39600,0.9878787878787879,-0.9867549668874173
40200,0.9878787878787879,-0.9867549668874173
40800,0.7575757575757576,-0.8410596026490066
41400,0.6484848484848484,-0.6357615894039735
42000,0.5393939393939394,-0.47019867549668876
42600,0.5212121212121212,-0.2913907284768212
43200,0.47878787878787876,-0.1490066225165563
43800,0.34545454545454546,-0.0033112582781456954
44400,0.37575757575757573,0.013245033112582781
45000,0.5151515151515151,-0.06456953642384106
45600,0.5818181818181818,-0.18874172185430463
46200,0.5696969696969697,-0.35927152317880795
46800,0.6242424242424243,-0.5447019867549668
47400,0.6666666666666666,-0.6705298013245033
48000,0.7818181818181819,-0.8940397350993378
48600,0.9878787878787879,-0.9867549668874173
49200,1.0,-0.9917218543046358
49800,0.7696969696969697,-0.8642384105960265
50400,0.6545454545454545,-0.6490066225165563
51000,0.5515151515151515,-0.5082781456953642
51600,0.509090909090909,-0.347682119205298
52200,0.5151515151515151,-0.21357615894039736
52800,0.3151515151515151,-0.018211920529801324
53400,0.37575757575757573,0.013245033112582781
54000,0.5151515151515151,-0.06456953642384106
54600,0.5878787878787879,-0.1986754966887417
55200,0.5696969696969697,-0.33278145695364236
55800,0.593939393939394,-0.44370860927152317
56400,0.6424242424242425,-0.6109271523178808
57000,0.703030303030303,-0.7384105960264901
57600,0.8181818181818182,-0.9652317880794702
58200,0.9878787878787879,-0.9867549668874173
58800,0.7878787878787878,-0.9072847682119205
59400,0.6787878787878788,-0.6937086092715232
60000,0.5636363636363636,-0.5513245033112583
60600,0.5212121212121212,-0.40894039735099336
61200,0.5272727272727272,-0.23509933774834438
61800,0.45454545454545453,-0.10927152317880795
62400,0.37575757575757573,0.013245033112582781
63000,0.37575757575757573,0.013245033112582781
63600,0.4666666666666667,-0.046357615894039736
64200,0.593939393939394,-0.2119205298013245
64800,0.5696969696969697,-0.3509933774834437
65400,0.6121212121212121,-0.5082781456953642
66000,0.6424242424242425,-0.6125827814569537
66600,0.7393939393939394,-0.804635761589404
67200,0.8848484848484849,-0.9850993377483444
67800,0.9818181818181818,-0.9867549668874173
68400,0.806060606060606,-0.9437086092715232
69000,0.703030303030303,-0.7400662251655629
69600,0.6060606060606061,-0.5927152317880795
70200,0.5212121212121212,-0.4056291390728477
70800,0.5212121212121212,-0.22682119205298013
71400,0.3939393939393939,-0.046357615894039736
72000,0.36363636363636365,0.014900662251655629
72600,0.36363636363636365,0.014900662251655629
73200,0.42424242424242425,-0.0347682119205298
73800,0.6,-0.2251655629139073
74400,0.5818181818181818,-0.39403973509933776
75000,0.6363636363636364,-0.5811258278145696
75600,0.703030303030303,-0.7400662251655629
76200,0.793939393939394,-0.9205298013245033
76800,0.9757575757575757,-0.9850993377483444
77400,0.9515151515151515,-1.0
78000,0.7333333333333333,-0.7996688741721855
78600,0.6424242424242425,-0.6076158940397351
79200,0.5151515151515151,-0.38741721854304634
79800,0.509090909090909,-0.2052980132450331
80400,0.34545454545454546,0.004966887417218543
81000,0.36363636363636365,0.014900662251655629
81600,0.34545454545454546,0.0
82200,0.5636363636363636,-0.152317880794702
82800,0.5757575757575758,-0.3129139072847682
